"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"261","Melanocytes",3,"Scramble","SDF1",2,"HOUR_0",733838
"262","Melanocytes",3,"Scramble","SDF1",2,"HOUR_5",592755
"263","Melanocytes",3,"Scramble","SDF1",2,"HOUR_8",450259
"264","Melanocytes",3,"Scramble","SDF1",2,"HOUR_18",306700
"265","Melanocytes",3,"Scramble","SDF1",3,"HOUR_0",671449
"266","Melanocytes",3,"Scramble","SDF1",3,"HOUR_5",525255
"267","Melanocytes",3,"Scramble","SDF1",3,"HOUR_8",441822
"268","Melanocytes",3,"Scramble","SDF1",3,"HOUR_18",324982
"269","Melanocytes",3,"Scramble","SDF1",4,"HOUR_0",657953
"270","Melanocytes",3,"Scramble","SDF1",4,"HOUR_5",593661
"271","Melanocytes",3,"Scramble","SDF1",4,"HOUR_8",422741
"272","Melanocytes",3,"Scramble","SDF1",4,"HOUR_18",377268
"273","Melanocytes",3,"CXCR7_siRNA","SDF1",1,"HOUR_0",617741
"274","Melanocytes",3,"CXCR7_siRNA","SDF1",1,"HOUR_5",498067
"275","Melanocytes",3,"CXCR7_siRNA","SDF1",1,"HOUR_8",409765
"276","Melanocytes",3,"CXCR7_siRNA","SDF1",1,"HOUR_18",146855
"277","Melanocytes",3,"CXCR7_siRNA","SDF1",2,"HOUR_0",723909
"278","Melanocytes",3,"CXCR7_siRNA","SDF1",2,"HOUR_5",562850
"279","Melanocytes",3,"CXCR7_siRNA","SDF1",2,"HOUR_8",482950
"280","Melanocytes",3,"CXCR7_siRNA","SDF1",2,"HOUR_18",273015
"281","Melanocytes",3,"CXCR7_siRNA","SDF1",3,"HOUR_0",648342
"282","Melanocytes",3,"CXCR7_siRNA","SDF1",3,"HOUR_5",544616
"283","Melanocytes",3,"CXCR7_siRNA","SDF1",3,"HOUR_8",494998
"284","Melanocytes",3,"CXCR7_siRNA","SDF1",3,"HOUR_18",214550
"285","Melanocytes",3,"CXCR7_siRNA","SDF1",4,"HOUR_0",655450
"286","Melanocytes",3,"CXCR7_siRNA","SDF1",4,"HOUR_5",541886
"287","Melanocytes",3,"CXCR7_siRNA","SDF1",4,"HOUR_8",489021
"288","Melanocytes",3,"CXCR7_siRNA","SDF1",4,"HOUR_18",231145
"289","Melanocytes",4,"Unstransfected","No_SDF1",1,"HOUR_0",606296
"290","Melanocytes",4,"Unstransfected","No_SDF1",1,"HOUR_5",562672
"291","Melanocytes",4,"Unstransfected","No_SDF1",1,"HOUR_8",402357
"292","Melanocytes",4,"Unstransfected","No_SDF1",1,"HOUR_18",337378
"293","Melanocytes",4,"Unstransfected","No_SDF1",2,"HOUR_0",670012
"294","Melanocytes",4,"Unstransfected","No_SDF1",2,"HOUR_5",637500
"295","Melanocytes",4,"Unstransfected","No_SDF1",2,"HOUR_8",508503
"296","Melanocytes",4,"Unstransfected","No_SDF1",2,"HOUR_18",341301
"297","Melanocytes",4,"Unstransfected","No_SDF1",3,"HOUR_0",601024
"298","Melanocytes",4,"Unstransfected","No_SDF1",3,"HOUR_5",575177
"299","Melanocytes",4,"Unstransfected","No_SDF1",3,"HOUR_8",459320
"300","Melanocytes",4,"Unstransfected","No_SDF1",3,"HOUR_18",331361
