Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,2,Scramble,SDF1,3,679097,564403,505541,392773
Melanocytes,2,Scramble,SDF1,4,662340,504907,464231,314812
Melanocytes,2,CXCR47_siRNA,SDF1,1,586403,455127,400881,232926
Melanocytes,2,CXCR47_siRNA,SDF1,2,671460,547579,487507,297513
Melanocytes,2,CXCR47_siRNA,SDF1,3,590431,475329,378168,238816
Melanocytes,2,CXCR47_siRNA,SDF1,4,662731,565707,494334,278533
Melanocytes,3,Unstransfected,No_SDF1,1,590519,539295,473884,337523
Melanocytes,3,Unstransfected,No_SDF1,2,653591,569275,467126,336342
Melanocytes,3,Unstransfected,No_SDF1,3,612798,565613,485492,384319
Melanocytes,3,Unstransfected,No_SDF1,4,694345,594877,433080,365469
Melanocytes,3,Scramble,No_SDF1,1,609945,503312,495881,314205
Melanocytes,3,Scramble,No_SDF1,2,661048,546067,441740,359499
Melanocytes,3,Scramble,No_SDF1,3,595818,402223,414144,311395
Melanocytes,3,Scramble,No_SDF1,4,677107,592628,493660,318759
Melanocytes,3,CXCR47_siRNA,No_SDF1,1,635181,492186,448558,368133
Melanocytes,3,CXCR47_siRNA,No_SDF1,2,614890,526255,411945,306601
Melanocytes,3,CXCR47_siRNA,No_SDF1,3,659246,573785,499489,346686
Melanocytes,3,CXCR47_siRNA,No_SDF1,4,624517,546095,426412,340026
Melanocytes,3,Unstransfected,SDF1,1,653074,575735,418408,355055
Melanocytes,3,Unstransfected,SDF1,2,661684,592218,519348,327274
Melanocytes,3,Unstransfected,SDF1,3,652083,639758,579920,359982
Melanocytes,3,Unstransfected,SDF1,4,773929,569345,534640,362847
Melanocytes,3,Scramble,SDF1,1,661293,518888,418625,313975
Melanocytes,3,Scramble,SDF1,2,670623,592755,450259,306700
Melanocytes,3,Scramble,SDF1,3,671449,525255,441822,324982
Melanocytes,3,Scramble,SDF1,4,657953,593661,422741,313279
Melanocytes,3,CXCR47_siRNA,SDF1,1,617741,498067,409765,339820
Melanocytes,3,CXCR47_siRNA,SDF1,2,723909,562850,482950,360296
Melanocytes,3,CXCR47_siRNA,SDF1,3,648342,544616,494998,334876
Melanocytes,3,CXCR47_siRNA,SDF1,4,655450,541886,489021,388952
Melanocytes,4,Unstransfected,No_SDF1,1,606296,562672,402357,337378
Melanocytes,4,Unstransfected,No_SDF1,2,615551,637500,508503,0
Melanocytes,4,Unstransfected,No_SDF1,3,601024,575177,459320,331361
Melanocytes,4,Unstransfected,No_SDF1,4,619563,570016,459125,268012
Melanocytes,4,Scramble,No_SDF1,1,593674,546316,550450,360542
Melanocytes,4,Scramble,No_SDF1,2,654431,608173,448174,367008
Melanocytes,4,Scramble,No_SDF1,3,779779,662400,555535,367666
